Clave del Capitulo;Nombre capitulo;Partida Fracción;Nombre;Fecha Inicio de Vigencia;Fecha Fin de Vigencia;Estatus activo
82;"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común";11;Cuchillos con hoja cortante o dentada, incluidas las navajas de podar, y sus hojas (excepto los de la partida 82.08).;1/11/11;NULL;SI
61;Prendas y complementos (accesorios), de vestir, de punto;11;Prendas y complementos (accesorios), de vestir, de punto, para bebés.;1/11/11;NULL;SI
62;Prendas y complementos (accesorios), de vestir, excepto los de punto;11;"Conjuntos de abrigo para entrenamiento o deporte (chandales), monos (overoles) y conjuntos de esquí y ""trajes de baño"" (bañadores); las demás prendas de vestir.";1/11/11;NULL;SI
68;Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas;11;Manufacturas de amiantocemento, celulosacemento o similares.;1/11/11;NULL;SI
69;Productos cerámicos;11;Vajilla y demás artículos de uso doméstico, higiene o tocador, de porcelana.;1/11/11;NULL;SI
48;"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón";11;Papel, cartón, guata de celulosa y napa de fibras de celulosa, estucados, recubiertos, impregnados o revestidos, coloreados o decorados en la superficie o impresos, en bobinas (rollos) o en hojas de forma cuadrada o rectangular, de cualquier tamaño, excep;1/11/11;NULL;SI
49;"Productos editoriales, de la prensa y de las demás industrias gráficas; textos manuscritos o mecanografiados y planos";11;Los demás impresos, incluidas las estampas, grabados y fotografías.;1/11/11;NULL;SI
51;"Lana y pelo fino u ordinario; hilados y tejidos de crin";11;Tejidos de lana cardada o pelo fino cardado.;1/11/11;NULL;SI
52;Algodón;11;Tejidos de algodón con un contenido de algodón inferior al 85% en peso, mezclado exclusiva o principalmente con fibras sintéticas o artificiales, de peso superior a 200 g/m².;1/11/11;NULL;SI
53;"Las demás fibras textiles vegetales; hilados de papel y tejidos de hilados de papel";11;"Tejidos de las demás fibras textiles vegetales; tejidos de hilados de papel.";1/11/11;NULL;SI
55;Fibras sintéticas o artificiales discontinuas;11;Hilados de fibras sintéticas o artificiales, discontinuas (excepto el hilo de coser), acondicionados para la venta al por menor.;1/11/11;NULL;SI
58;"Tejidos especiales; superficies textiles con mechón insertado; encajes; tapicería; pasamanería; bordados";11;Productos textiles acolchados en pieza, constituidos por una o varias capas de materia textil combinadas con una materia de relleno y mantenidas mediante puntadas u otro modo de sujeción, excepto los bordados de la partida 58.10.;1/11/11;NULL;SI
59;"Telas impregnadas, recubiertas, revestidas o estratificadas; artículos técnicos de materia textil";11;Productos y artículos textiles para usos técnicos mencionados en la Nota 7 de este Capítulo.;1/11/11;NULL;SI
87;"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios";11;"Motocicletas (incluidos los ciclomotores) y velocípedos equipados con motor auxiliar, con ""sidecar"" o sin él; ""sidecares"".";1/11/11;NULL;SI
90;"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos";11;Microscopios ópticos, incluso para fotomicrografía, cinefotomicrografía o microproyección.;1/11/11;NULL;SI
85;"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos";11;"Aparatos y dispositivos eléctricos de encendido o de arranque, para motores de encendido por chispa o por compresión (por ejemplo: magnetos, dinamomagnetos, bobinas de encendido, bujías de encendido o calentamiento, motores de arranque); generadores (por ";1/11/11;NULL;SI
83;Manufacturas diversas de metal común;11;"Alambres, varillas, tubos, placas, electrodos y artículos similares, de metal común o de carburo metálico, recubiertos o rellenos de decapantes o de fundentes, para soldadura o depósito de metal o de carburo metálico; alambres y varillas, de polvo de meta";1/11/11;NULL;SI
84;"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos";11;Turborreactores, turbopropulsores y demás turbinas de gas.;1/11/11;NULL;SI
40;Caucho y sus manufacturas;11;Neumáticos nuevos de caucho.;1/11/11;NULL;SI
15;"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal";11;Aceite de palma y sus fracciones, incluso refinado, pero sin modificar químicamente.;1/11/11;NULL;SI
76;Aluminio y sus manufacturas;11;Depósitos, cisternas, cubas y recipientes similares para cualquier materia (excepto gas comprimido o licuado), de aluminio, de capacidad superior a 300 l, sin dispositivos mecánicos ni térmicos, incluso con revestimiento interior o calorífugo.;1/11/11;NULL;SI
08;"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías";11;Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adición de azúcar u otro edulcorante.;1/11/11;NULL;SI
12;"Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje";11;Plantas, partes de plantas, semillas y frutos de las especies utilizadas principalmente en perfumería, medicina o para usos insecticidas, parasiticidas o similares, frescos o secos, incluso cortados, quebrantados o pulverizados.;1/11/11;NULL;SI
38;Productos diversos de las industrias químicas;11;Preparaciones antidetonantes, inhibidores de oxidación, aditivos peptizantes, mejoradores de viscosidad, anticorrosivos y demás aditivos preparados para aceites minerales (incluida la gasolina) u otros líquidos utilizados para los mismos fines que los ace;1/11/11;NULL;SI
44;Madera, carbón vegetal y manufacturas de madera;11;Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o demás aglutinantes orgánicos.;1/11/11;NULL;SI
05;Los demás productos de origen animal no expresados ni comprendidos en otra parte;11;"Productos de origen animal no expresados ni comprendidos en otra parte; animales muertos de los Capítulos 1 ó 3, impropios para la alimentación humana.";1/11/11;NULL;SI
07;Hortalizas, plantas, raíces y tubérculos alimenticios;11;Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), pero todavía impropias para consumo inmediato.;1/11/11;NULL;SI
25;"Sal; azufre; tierras y piedras; yesos, cales y cementos";11;"Sulfato de bario natural (baritina); carbonato de bario natural (witherita), incluso calcinado, excepto el óxido de bario de la partida 28.16.";1/11/11;NULL;SI
26;Minerales metalíferos, escorias y cenizas;11;Minerales de volframio (tungsteno) y sus concentrados.;1/11/11;NULL;SI
27;"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ceras minerales";11;Gas de petróleo y demás hidrocarburos gaseosos.;1/11/11;NULL;SI
28;"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos radiactivos, de metales de las tierras raras o de isótopos";11;Los demás ácidos inorgánicos y los demás compuestos oxigenados inorgánicos de los elementos no metálicos.;1/11/11;NULL;SI
29;Productos químicos orgánicos;11;Acetales y semiacetales, incluso con otras funciones oxigenadas, y sus derivados halogenados, sulfonados, nitrados o nitrosados.;1/11/11;NULL;SI
32;"Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; pinturas y barnices; mástiques; tintas";11;Secativos preparados.;1/11/11;NULL;SI
71;"Perlas naturales o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas";11;Chapado (plaqué) de platino sobre metal común, plata u oro, en bruto o semilabrado.;1/11/11;NULL;SI
71;"Perlas naturales o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas";12;"Desperdicios y desechos, de metal precioso o de chapado de metal precioso (plaqué); demás desperdicios y desechos que contengan metal precioso o compuestos de metal precioso, de los tipos utilizados principalmente para la recuperación del metal precioso.";1/11/11;NULL;SI
39;Plástico y sus manufacturas;12;Celulosa y sus derivados químicos, no expresados ni comprendidos en otra parte, en formas primarias.;1/11/11;NULL;SI
73;Manufacturas de fundición, hierro o acero;12;Cables, trenzas, eslingas y artículos similares, de hierro o acero, sin aislar para electricidad.;1/11/11;NULL;SI
74;Cobre y sus manufacturas;12;Accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos) de cobre.;1/11/11;NULL;SI
84;"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos";12;Los demás motores y máquinas motrices.;1/11/11;NULL;SI
91;Aparatos de relojería y sus partes;12;Cajas y envolturas similares para los demás aparatos de relojería, y sus partes.;1/11/11;NULL;SI
96;Manufacturas diversas;12;"Cintas para máquinas de escribir y cintas similares, entintadas o preparadas de otro modo para imprimir, incluso en carretes o cartuchos; tampones, incluso impregnados o con caja.";1/11/11;NULL;SI
81;"Los demás metales comunes; cermets; manufacturas de estas materias";12;Berilio, cromo, germanio, vanadio, galio, hafnio (celtio), indio, niobio (colombio), renio y talio, así como las manufacturas de estos metales, incluidos los desperdicios y desechos.;1/11/11;NULL;SI
82;"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común";12;Navajas y máquinas de afeitar y sus hojas (incluidos los esbozos en fleje).;1/11/11;NULL;SI
61;Prendas y complementos (accesorios), de vestir, de punto;12;Conjuntos de abrigo para entrenamiento o deporte (chandales), monos (overoles) y conjuntos de esquí y bañadores, de punto.;1/11/11;NULL;SI
62;Prendas y complementos (accesorios), de vestir, excepto los de punto;12;Sostenes (corpiños), fajas, corsés, tirantes (tiradores), ligas y artículos similares, y sus partes, incluso de punto.;1/11/11;NULL;SI
68;Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas;12;"Amianto (asbesto) en fibras trabajado; mezclas a base de amianto o a base de amianto y carbonato de magnesio; manufacturas de estas mezclas o de amianto (por ejemplo: hilados, tejidos, prendas de vestir, sombreros y demás tocados, calzado, juntas), inclus";1/11/11;NULL;SI
69;Productos cerámicos;12;Vajilla y demás artículos de uso doméstico, higiene o tocador, de cerámica, excepto porcelana.;1/11/11;NULL;SI
48;"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón";12;Bloques y placas, filtrantes, de pasta de papel.;1/11/11;NULL;SI
51;"Lana y pelo fino u ordinario; hilados y tejidos de crin";12;Tejidos de lana peinada o pelo fino peinado.;1/11/11;NULL;SI
52;Algodón;12;Los demás tejidos de algodón.;1/11/11;NULL;SI
55;Fibras sintéticas o artificiales discontinuas;12;Tejidos de fibras sintéticas discontinuas con un contenido de fibras sintéticas discontinuas superior o igual al 85% en peso.;1/11/11;NULL;SI
87;"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios";12;Bicicletas y demás velocípedos (incluidos los triciclos de reparto), sin motor.;1/11/11;NULL;SI
90;"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos";12;"Microscopios, excepto los ópticos; difractógrafos.";1/11/11;NULL;SI
70;Vidrio y sus manufacturas;12;S/N;1/11/11;NULL;SI
85;"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos";12;Aparatos eléctricos de alumbrado o señalización (excepto los artículos de la partida 85.39), limpiaparabrisas, eliminadores de escarcha o vaho, eléctricos, de los tipos utilizados en velocípedos o vehículos automóviles.;1/11/11;NULL;SI
40;Caucho y sus manufacturas;12;"Neumáticos recauchutados o usados, de caucho; bandajes (macizos o huecos), bandas de rodadura para neumáticos y protectores (""flaps""), de caucho.";1/11/11;NULL;SI
15;"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal";12;Aceites de girasol, cártamo o algodón, y sus fracciones, incluso refinados, pero sin modificar químicamente.;1/11/11;NULL;SI
76;Aluminio y sus manufacturas;12;Depósitos, barriles, tambores, bidones, botes, cajas y recipientes similares, de aluminio (incluidos los envases tubulares rígidos o flexibles), para cualquier materia (excepto gas comprimido o licuado), de capacidad inferior o igual a 300 l, ;;;
sin disposi;1/11/11;NULL;SI;;;
08;"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías";12;Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para dicha conservación), pero todavía impropios para consumo inmediato.;1/11/11;NULL;SI
12;"Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje";12;"Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas o secas, incluso pulverizadas; huesos (carozos) y almendras de frutos y demás productos vegetales (incluidas las raíces de achicoria sin tostar de la variedad Cicho";1/11/11;NULL;SI
38;Productos diversos de las industrias químicas;12;"Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico.";1/11/11;NULL;SI
41;Pieles (excepto la peletería) y cueros;12;Cueros preparados después del curtido o secado y cueros y pieles apergaminados, de ovino, depilados, incluso divididos, excepto los de la partida 41.14.;1/11/11;NULL;SI
44;Madera, carbón vegetal y manufacturas de madera;12;Madera contrachapada, madera chapada y madera estratificada similar.;1/11/11;NULL;SI
07;Hortalizas, plantas, raíces y tubérculos alimenticios;12;Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o pulverizadas, pero sin otra preparación.;1/11/11;NULL;SI
25;"Sal; azufre; tierras y piedras; yesos, cales y cementos";12;"Harinas silíceas fósiles (por ejemplo: ""Kieselguhr"", tripolita, diatomita) y demás tierras silíceas análogas, de densidad aparente inferior o igual a 1, incluso calcinadas.";1/11/11;NULL;SI
26;Minerales metalíferos, escorias y cenizas;12;Minerales de uranio o torio, y sus concentrados.;1/11/11;NULL;SI
27;"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ceras minerales";12;"Vaselina; parafina, cera de petróleo microcristalina, ""slack wax"", ozoquerita, cera de lignito, cera de turba, demás ceras minerales y productos similares obtenidos por síntesis o por otros procedimientos, incluso coloreados.";1/11/11;NULL;SI
28;"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos radiactivos, de metales de las tierras raras o de isótopos";12;Halogenuros y oxihalogenuros de los elementos no metálicos.;1/11/11;NULL;SI
29;Productos químicos orgánicos;12;"Aldehídos, incluso con otras funciones oxigenadas; polímeros cíclicos de los aldehídos; paraformaldehído.";1/11/11;NULL;SI
32;"Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; pinturas y barnices; mástiques; tintas";12;"Pigmentos (incluidos el polvo y escamillas metálicos) dispersos en medios no acuosos, líquidos o en pasta, de los tipos utilizados para la fabricación de pinturas; hojas para el marcado a fuego; tintes y demás materias colorantes presentados en formas o e";1/11/11;NULL;SI
72;Fundición, hierro y acero;12;Productos laminados planos de hierro o acero sin alear, de anchura inferior a 600 mm, chapados o revestidos.;1/11/11;NULL;SI
69;Productos cerámicos;13;Estatuillas y demás artículos para adorno, de cerámica.;1/11/11;NULL;SI
70;Vidrio y sus manufacturas;13;Artículos de vidrio para servicio de mesa, cocina, tocador, baño, oficina, adorno de interiores o usos similares (excepto los de las partidas 70.10 ó 70.18).;1/11/11;NULL;SI
71;"Perlas naturales o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas";13;Artículos de joyería y sus partes, de metal precioso o de chapado de metal precioso (plaqué).;1/11/11;NULL;SI
72;Fundición, hierro y acero;13;Alambrón de hierro o acero sin alear.;1/11/11;NULL;SI
73;Manufacturas de fundición, hierro o acero;13;"Alambre de púas, de hierro o acero; alambre (simple o doble) y fleje, torcidos, incluso con púas, de hierro o acero, de los tipos utilizados para cercar.";1/11/11;NULL;SI
74;Cobre y sus manufacturas;13;Cables, trenzas y artículos similares, de cobre, sin aislar para electricidad.;1/11/11;NULL;SI
84;"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos";13;"Bombas para líquidos, incluso con dispositivo medidor incorporado; elevadores de líquidos.";1/11/11;NULL;SI
91;Aparatos de relojería y sus partes;13;Pulseras para reloj y sus partes.;1/11/11;NULL;SI
96;Manufacturas diversas;13;Encendedores y mecheros, incluso mecánicos o eléctricos, y sus partes, excepto las piedras y mechas.;1/11/11;NULL;SI
81;"Los demás metales comunes; cermets; manufacturas de estas materias";13;Cermet y sus manufacturas, incluidos los desperdicios y desechos.;1/11/11;NULL;SI
82;"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común";13;Tijeras y sus hojas.;1/11/11;NULL;SI
61;Prendas y complementos (accesorios), de vestir, de punto;13;Prendas de vestir confeccionadas con tejidos de punto de las partidas 59.03, 59.06 ó 59.07.;1/11/11;NULL;SI
62;Prendas y complementos (accesorios), de vestir, excepto los de punto;13;Pañuelos de bolsillo.;1/11/11;NULL;SI
07;Hortalizas, plantas, raíces y tubérculos alimenticios;13;Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas.;1/11/11;NULL;SI
68;Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas;13;Guarniciones de fricción (por ejemplo: hojas, rollos, tiras, segmentos, discos, arandelas, plaquitas) sin montar, para frenos, embragues o cualquier órgano de frotamiento, a base de amianto (asbesto), de otras sustancias minerales o de celulosa, incluso c;1/11/11;NULL;SI
48;"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón";13;Papel de fumar, incluso cortado al tamaño adecuado, en librillos o en tubos.;1/11/11;NULL;SI
51;"Lana y pelo fino u ordinario; hilados y tejidos de crin";13;Tejidos de pelo ordinario o de crin.;1/11/11;NULL;SI
55;Fibras sintéticas o artificiales discontinuas;13;Tejidos de fibras sintéticas discontinuas con un contenido de estas fibras inferior al 85% en peso, mezcladas exclusiva o principalmente con algodón, de peso inferior o igual a 170 g/m².;1/11/11;NULL;SI
87;"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios";13;Sillones de ruedas y demás vehículos para personas discapacitadas, incluso con motor u otro mecanismo de propulsión.;1/11/11;NULL;SI
90;"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos";13;"Dispositivos de cristal líquido que no constituyan artículos comprendidos más específicamente en otra parte; láseres, excepto los diodos láser; los demás aparatos e instrumentos de óptica, no expresados ni comprendidos en otra parte de este Capítulo.";1/11/11;NULL;SI
85;"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos";13;Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía (por ejemplo: de pilas, acumuladores, electromagnéticas), excepto los aparatos de alumbrado de la partida 85.12.;1/11/11;NULL;SI
39;Plástico y sus manufacturas;13;Polímeros naturales (por ejemplo, ácido algínico) y polímeros naturales modificados (por ejemplo: proteínas endurecidas, derivados químicos del caucho natural), no expresados ni comprendidos en otra parte, en formas primarias.;1/11/11;NULL;SI
40;Caucho y sus manufacturas;13;Cámaras de caucho para neumáticos.;1/11/11;NULL;SI
15;"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal";13;Aceites de coco (de copra), de almendra de palma o de babasú, y sus fracciones, incluso refinados, pero sin modificar químicamente.;1/11/11;NULL;SI
76;Aluminio y sus manufacturas;13;Recipientes para gas comprimido o licuado, de aluminio.;1/11/11;NULL;SI
08;"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías";13;"Frutas y otros frutos, secos, excepto los de las partidas 08.01 a 08.06; mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.";1/11/11;NULL;SI
12;"Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje";13;"Paja y cascabillo de cereales, en bruto, incluso picados, molidos, prensados o en ""pellets"".";1/11/11;NULL;SI
38;Productos diversos de las industrias químicas;13;"Preparaciones y cargas para aparatos extintores; granadas y bombas extintoras.";1/11/11;NULL;SI
41;Pieles (excepto la peletería) y cueros;13;Cueros preparados después del curtido o secado y cueros y pieles apergaminados, de los demás animales, depilados, y cueros preparados después del curtido y cueros y pieles apergaminados, de animales sin pelo, incluso los divididos, excepto los de la parti;1/11/11;NULL;SI
44;Madera, carbón vegetal y manufacturas de madera;13;Madera densificada en bloques, tablas, tiras o perfiles.;1/11/11;NULL;SI
25;"Sal; azufre; tierras y piedras; yesos, cales y cementos";13;"Piedra pómez; esmeril; corindón natural, granate natural y demás abrasivos naturales, incluso tratados térmicamente.";1/11/11;NULL;SI
26;Minerales metalíferos, escorias y cenizas;13;Minerales de molibdeno y sus concentrados.;1/11/11;NULL;SI
27;"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ceras minerales";13;Coque de petróleo, betún de petróleo y demás residuos de los aceites de petróleo o de mineral bituminoso.;1/11/11;NULL;SI
28;"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos radiactivos, de metales de las tierras raras o de isótopos";13;"Sulfuros de los elementos no metálicos; trisulfuro de fósforo comercial.";1/11/11;NULL;SI
29;Productos químicos orgánicos;13;Derivados halogenados, sulfonados, nitrados o nitrosados de los productos de la partida 29.12.;1/11/11;NULL;SI
32;"Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; pinturas y barnices; mástiques; tintas";13;Colores para la pintura artística, la enseñanza, la pintura de carteles, para matizar o para entretenimiento y colores similares, en pastillas, tubos, botes, frascos o en formas o envases similares.;1/11/11;NULL;SI
69;Productos cerámicos;14;Las demás manufacturas de cerámica.;1/11/11;NULL;SI
32;"Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; pinturas y barnices; mástiques; tintas";14;"Masilla, cementos de resina y demás mástiques; plastes (enduidos) utilizados en pintura; plastes (enduidos) no refractarios de los tipos utilizados en albañilería.";1/11/11;NULL;SI
71;"Perlas naturales o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas";14;Artículos de orfebrería y sus partes, de metal precioso o de chapado de metal precioso (plaqué).;1/11/11;NULL;SI
72;Fundición, hierro y acero;14;Barras de hierro o acero sin alear, simplemente forjadas, laminadas o extrudidas, en caliente, así como las sometidas a torsión después del laminado.;1/11/11;NULL;SI
73;Manufacturas de fundición, hierro o acero;14;"Telas metálicas (incluidas las continuas o sin fin), redes y rejas, de alambre de hierro o acero; chapas y tiras, extendidas (desplegadas), de hierro o acero.";1/11/11;NULL;SI
84;"Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos";14;"Bombas de aire o de vacío, compresores de aire u otros gases y ventiladores; campanas aspirantes para extracción o reciclado, con ventilador incorporado, incluso con filtro.";1/11/11;NULL;SI
91;Aparatos de relojería y sus partes;14;Las demás partes de aparatos de relojería.;1/11/11;NULL;SI
96;Manufacturas diversas;14;Pipas (incluidas las cazoletas), boquillas para cigarros (puros) o cigarrillos, y sus partes.;1/11/11;NULL;SI
82;"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común";14;"Los demás artículos de cuchillería (por ejemplo: máquinas de cortar el pelo o de esquilar, cuchillas para picar carne, tajaderas de carnicería o cocina y cortapapeles); herramientas y juegos de herramientas de manicura o de pedicuro (incluidas las limas p";1/11/11;NULL;SI
61;Prendas y complementos (accesorios), de vestir, de punto;14;Las demás prendas de vestir, de punto.;1/11/11;NULL;SI
62;Prendas y complementos (accesorios), de vestir, excepto los de punto;14;Chales, pañuelos de cuello, bufandas, mantillas, velos y artículos similares.;1/11/11;NULL;SI
68;Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas;14;Mica trabajada y manufacturas de mica, incluida la aglomerada o reconstituida, incluso con soporte de papel, cartón o demás materias.;1/11/11;NULL;SI
48;"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón";14;"Papel para decorar y revestimientos similares de paredes; papel para vidrieras.";1/11/11;NULL;SI
55;Fibras sintéticas o artificiales discontinuas;14;Tejidos de fibras sintéticas discontinuas con un contenido de estas fibras inferior al 85% en peso, mezcladas exclusiva o principalmente con algodón, de peso superior a 170 g/m².;1/11/11;NULL;SI
87;"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios";14;Partes y accesorios de vehículos de las partidas 87.11 a 87.13.;1/11/11;NULL;SI
90;"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos";14;"Brújulas, incluidos los compases de navegación; los demás instrumentos y aparatos de navegación.";1/11/11;NULL;SI
74;Cobre y sus manufacturas;14;S/N;1/11/11;NULL;SI
85;"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos";14;"Hornos eléctricos industriales o de laboratorio, incluidos los que funcionen por inducción o pérdidas dieléctricas; los demás aparatos industriales o de laboratorio para tratamiento térmico de materias por inducción o pérdidas dieléctricas.";1/11/11;NULL;SI
39;Plástico y sus manufacturas;14;Intercambiadores de iones a base de polímeros de las partidas 39.01 a 39.13, en formas primarias.;1/11/11;NULL;SI
40;Caucho y sus manufacturas;14;Artículos de higiene o de farmacia (comprendidas las tetinas), de caucho vulcanizado sin endurecer, incluso con partes de caucho endurecido.;1/11/11;NULL;SI
15;"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal";14;Aceites de nabo (de nabina), colza o mostaza, y sus fracciones, incluso refinados, pero sin modificar químicamente.;1/11/11;NULL;SI
76;Aluminio y sus manufacturas;14;Cables, trenzas y similares, de aluminio, sin aislar para electricidad.;1/11/11;NULL;SI
07;Hortalizas, plantas, raíces y tubérculos alimenticios;14;"Raíces de yuca (mandioca), arrurruz o salep, aguaturmas (patacas), camotes (boniatos, batatas) y raíces y tubérculos similares ricos en fécula o inulina, frescos, refrigerados, congelados o secos, incluso troceados o en ""pellets""; médula de sagú.";1/11/11;NULL;SI
08;"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías";14;Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su conservación provisional.;1/11/11;NULL;SI
12;"Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje";14;"Nabos forrajeros, remolachas forrajeras, raíces forrajeras, heno, alfalfa, trébol, esparceta, coles forrajeras, altramuces, vezas y productos forrajeros similares, incluso en ""pellets"".";1/11/11;NULL;SI
38;Productos diversos de las industrias químicas;14;"Disolventes y diluyentes orgánicos compuestos, no expresados ni comprendidos en otra parte; preparaciones para quitar pinturas o barnices.";1/11/11;NULL;SI
41;Pieles (excepto la peletería) y cueros;14;"Cueros y pieles agamuzados (incluido el agamuzado combinado al aceite); cueros y pieles charolados y sus imitaciones de cueros o pieles chapados; cueros y pieles metalizados.";1/11/11;NULL;SI
44;Madera, carbón vegetal y manufacturas de madera;14;Marcos de madera para cuadros, fotografías, espejos u objetos similares.;1/11/11;NULL;SI
25;"Sal; azufre; tierras y piedras; yesos, cales y cementos";14;Pizarra, incluso desbastada o simplemente troceada, por aserrado o de otro modo, en bloques o en placas cuadradas o rectangulares.;1/11/11;NULL;SI
26;Minerales metalíferos, escorias y cenizas;14;Minerales de titanio y sus concentrados.;1/11/11;NULL;SI
